                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.1208,                0.89964,                 1.3725,                0.61788,                 0.6201,                0.64228,                0.39572,                 1.3752,                 1.1682,                 1.6235,             0.00038446,             0.00038446,             0.00038446
                    138,                 1.1296,                0.91412,                 1.3838,                 0.6178,                 0.6314,                0.63967,                0.39402,                 1.3678,                 1.1632,                  1.622,             0.00037503,             0.00037503,             0.00037503
                    139,                 1.1262,                0.91299,                 1.3748,                0.61685,                0.62854,                0.64542,                0.39883,                 1.3693,                 1.1559,                 1.6184,              0.0003656,              0.0003656,              0.0003656
                    140,                 1.1125,                0.90367,                 1.3727,                 0.6192,                0.62516,                0.63922,                 0.3939,                  1.372,                 1.1852,                 1.6134,             0.00035617,             0.00035617,             0.00035617
                    141,                 1.1252,                0.89422,                 1.3742,                0.61314,                0.62853,                0.64146,                0.39507,                 1.3797,                 1.1691,                 1.6269,             0.00034674,             0.00034674,             0.00034674
                    142,                 1.1177,                0.90112,                 1.3694,                0.62876,                0.61568,                0.64314,                0.39679,                 1.3745,                 1.1639,                 1.6301,             0.00033731,             0.00033731,             0.00033731
                    143,                 1.1095,                0.88861,                 1.3554,                0.62893,                0.60668,                0.63469,                0.39239,                 1.3866,                 1.1802,                 1.6255,             0.00032788,             0.00032788,             0.00032788
                    144,                 1.1102,                 0.8844,                 1.3664,                0.60689,                0.62985,                0.64366,                0.39832,                 1.3746,                 1.1619,                 1.6278,             0.00031844,             0.00031844,             0.00031844
                    145,                 1.1075,                  0.877,                 1.3582,                0.63083,                 0.5996,                0.63754,                 0.3924,                 1.3744,                 1.1807,                  1.625,             0.00030901,             0.00030901,             0.00030901
                    146,                 1.1126,                0.88671,                 1.3624,                0.61349,                0.62051,                 0.6346,                0.38864,                 1.3884,                 1.1873,                 1.6344,             0.00029958,             0.00029958,             0.00029958
                    147,                 1.1037,                0.87477,                 1.3588,                0.63086,                0.60229,                0.63525,                 0.3904,                 1.3816,                 1.1819,                 1.6308,             0.00029015,             0.00029015,             0.00029015
